variable,dtype,description,source,category,unit,notes
date,str,Variable included in final panel,Consolidated Data,Data,,
cpi_all_items,float64,Variable included in final panel,Consolidated Data,Data,,
policy_rate,float64,Variable included in final panel,Consolidated Data,Data,,
industrial_production,float64,Variable included in final panel,Consolidated Data,Data,,
ref_area,str,Variable included in final panel,Consolidated Data,Data,,
time_period,str,Variable included in final panel,Consolidated Data,Data,,
energy_product,str,Variable included in final panel,Consolidated Data,Data,,
flow_breakdown,str,Variable included in final panel,Consolidated Data,Data,,
unit_measure,str,Variable included in final panel,Consolidated Data,Data,,
obs_value,float64,Variable included in final panel,Consolidated Data,Data,,
assessment_code,float64,Variable included in final panel,Consolidated Data,Data,,
indicator_id,str,Variable included in final panel,Consolidated Data,Data,,
indicator_label,str,Variable included in final panel,Consolidated Data,Data,,
country_iso3,str,Variable included in final panel,Consolidated Data,Data,,
country_name,str,Variable included in final panel,Consolidated Data,Data,,
year,float64,Variable included in final panel,Consolidated Data,Data,,
value,float64,Variable included in final panel,Consolidated Data,Data,,
obs_status,float64,Variable included in final panel,Consolidated Data,Data,,
decimal,float64,Variable included in final panel,Consolidated Data,Data,,
fetched_at_utc,str,Variable included in final panel,Consolidated Data,Data,,
