Term,Model (1) FE,Model (2) DiD
Gas import shock (t-1),-0.0001,-0.0005
,(0.0009),(0.0004)
Shock x high energy dependence,-0.0005,
,(0.0010),
High dependence x Post-2022,,-0.2502
,,(1.0464)
High energy dependence,,3.4994***
,,(1.1155)
Post-2022,,1.7571**
,,(0.6866)
GDP growth,-0.2360***,-0.2469***
,(0.0756),(0.0785)
Imports (% GDP),0.1198**,0.0990*
,(0.0587),(0.0509)
Country fixed effects,Yes,Yes
Year fixed effects,Yes,Yes
Clustered standard errors,Country,Country
Observations,430,477
R-squared,0.1241,0.7564
